SemanaId;OrganizacionId;TipoOperacionId;EstadoId;Cantidad;Volumen
202537;30;4;2;5;7846218.65
202537;30;5;2;5;7846218.65
202537;31;1;2;8;10012
202537;31;2;2;16;10689.62
202537;31;4;2;1;10
202537;31;5;2;1;10
202537;32;1;2;14;40719.42
202537;32;1;3;1;10113.29
202537;32;2;2;11;626377.77
202537;32;3;2;6;156258.10
202537;32;4;2;28;420
202537;32;5;2;28;420
202537;33;1;2;2;0.08
202537;33;2;2;4;282.54
202538;3;1;2;2;2
202538;3;3;2;15;43.80
202538;3;3;6;3;13.20
202538;4;1;2;40035;12008897420.03
202538;4;1;3;199;74358827.84
202538;4;2;2;61005;14113040568.31
202538;4;3;2;2582;42085305.42
202538;4;3;3;60;976430.75
202538;4;3;6;2;58730
202538;4;4;2;216;155787156.64
202538;4;5;2;216;155787156.64
202538;5;1;2;840711;36638274426.35
202538;5;1;3;3873;250466074.59
202538;5;2;2;1841701;44050861540
202538;5;3;2;48050;697918279.10
202538;5;3;3;1582;35183475.29
202538;5;3;6;37;1408649.21
202538;5;3;7;3;603248.42
202538;5;4;2;1005;70372587.52
202538;5;5;2;1005;70372587.52
202538;6;2;2;3;190000000
202538;6;3;2;9082;197280852.61
202538;6;3;3;530;15624229.60
202538;6;3;6;74;2047687.98
202538;8;1;2;1984;2379997354.37
202538;8;1;3;66;1150598537.64
202538;8;2;2;25577;2298469696.85
202538;8;4;2;5;1146000
202538;8;5;2;5;1146000
202538;9;1;2;3318;37074525.94
202538;9;1;3;14;40104.80
202538;9;2;2;8636;86228831.85
202538;9;3;2;742;17141909.30
202538;9;3;3;28;3773300
202538;9;3;6;1;17.20
202538;9;3;7;1;7
202538;9;4;2;84;3546516
202538;9;5;2;84;3546516
202538;9;7;2;9052;32368373
202538;13;1;2;1520;170442658.99
202538;13;1;3;11;39980
202538;13;2;2;78;58474438.48
202538;13;3;2;1;10
202538;13;4;2;9;22742.28
202538;13;5;2;9;22742.28
202538;14;1;2;552;491224776.41
202538;14;1;3;15;487466.27
202538;14;2;2;586;500060098.05
202538;14;3;2;30;495617.62
202538;14;3;3;1;13081
202538;14;4;2;1215;523810170.39
202538;14;5;2;1215;523810170.39
202538;15;1;2;4811;1173659016.55
202538;15;1;3;41;5197163.76
202538;15;2;2;23184;1084510731.46
202538;15;4;2;1710;654872966.49
202538;15;5;2;1710;654872966.49
202538;16;1;2;12;63210
202538;16;2;2;6;10013156
202538;16;3;2;87;4014887.11
202538;16;3;3;4;125715.70
202538;16;3;6;1;59518.51
202538;16;4;2;1;14000
202538;16;5;2;1;14000
202538;18;2;2;228;293168288.42
202538;18;3;2;13943;301972200.01
202538;18;3;3;199;9710854.65
202538;18;3;6;16;1119954.47
202538;19;1;2;17;3322206.49
202538;19;2;2;29;7081500
202538;20;1;2;67;11285791.42
202538;20;2;2;120;7201197.98
202538;20;9;2;44;1040356.97
202538;20;9;5;37;4765064.20
202538;20;10;2;29;6872.38
202538;22;1;2;5;45577848.63
202538;22;2;2;5;45577848.63
202538;24;1;2;11067;704524121.47
202538;24;1;3;25;2003993.70
202538;24;2;2;11720;754858000.62
202538;24;3;2;581;7893991.54
202538;24;3;3;19;306301.96
202538;24;3;6;9;234231.18
202538;24;4;2;4;58700
202538;24;5;2;4;58700
202538;25;1;2;5;92
202538;25;2;2;6;102
202538;28;1;2;2;53000000
202538;28;1;3;5;132315
202538;28;2;2;330;66964798.74
202538;29;2;2;1;300000
202538;29;3;2;10;222033.19
202538;30;1;2;3;1749179.74
202538;30;2;2;126;4121275
202538;30;4;2;2;1736674.32
202538;30;5;2;2;1736674.32
202538;31;2;2;1;10
202538;32;1;2;4;292000
202538;32;2;2;1;0.99
202538;32;3;2;7;173849.58
202538;32;4;2;7;70
202538;32;5;2;7;70
202538;33;1;2;3;1020
202538;33;1;3;1;0.10
202538;33;4;2;1;304272.36
202538;33;5;2;1;304272.36
202538;33;9;2;1;29492
202538;33;9;3;1;29492
202539;3;1;2;1;1
202539;3;3;2;1;1
202539;4;1;2;36800;8071569620.37
202539;4;1;3;353;42251222.90
202539;4;2;2;52249;9356137577.10
202539;4;3;2;2606;43506330.21
202539;4;3;3;68;2516516.80
202539;4;3;6;5;62870
202539;4;4;2;186;14196468.31
202539;4;5;2;186;14196468.31
202539;5;1;2;779464;32987263137.21
202539;5;1;3;8936;434492273.57
202539;5;2;2;1705424;41175793269.36
202539;5;3;2;42465;620614415.17
202539;5;3;3;1174;18636187.17
202539;5;3;5;1;390
202539;5;3;6;23;754634.61
202539;5;3;7;3;314799.97
202539;5;4;2;826;48598092.79
202539;5;5;2;826;48598092.79
202539;6;2;2;2;160000000
202539;6;3;2;9672;199864493.31
202539;6;3;3;415;11805374.10
202539;6;3;6;78;2307261.09
202539;6;3;7;2;109980
202539;8;1;2;1005;5887603848.59
202539;8;1;3;163;1231592680.22
202539;8;2;2;11025;5925354866.29
202539;8;4;2;7;384000
202539;8;5;2;7;384000
202539;9;1;2;3254;28389777.40
202539;9;1;3;42;453329
202539;9;2;2;8854;85904798.26
202539;9;3;2;776;23433192.55
202539;9;3;3;32;7706825
202539;9;3;5;1;3400
202539;9;4;2;48;911585
202539;9;5;2;48;911585
202539;9;7;2;9239;33379182
202539;11;1;2;10;696250
202539;11;1;3;29;1685149
202539;11;2;2;3;701067.38
202539;13;1;2;1306;187837437.47
202539;13;1;3;13;1203717.25
202539;13;2;2;80;32495096.27
202539;13;3;2;24;411379.75
202539;13;3;3;13;3447
202539;13;4;2;8;1572257.39
202539;13;5;2;8;1572257.39
202539;14;1;2;442;225291934.03
202539;14;1;3;9;531987.47
202539;14;2;2;522;226248461.89
202539;14;3;2;14;174970.03
202539;14;3;3;4;140015
202539;14;4;2;1017;245169921.08
202539;14;5;2;1017;245169921.08
202539;15;1;2;3155;711980624.61
202539;15;1;3;33;9047485.41
202539;15;2;2;4571;663362195.04
202539;15;3;2;1;3420
202539;15;4;2;2026;738264878.96
