SemanaId;OrganizacionId;Cantidad
202606;24;11582
202606;27;9
202606;30;59
202606;33;14
202606;47;3
202606;51;1
202607;3;3
202607;4;2337
202607;5;20394
202607;9;1379
202607;14;751
202607;15;88
202607;16;25406
202607;24;10076
202607;25;1
202607;27;6
202607;30;73
202607;31;1
202607;33;10
202607;37;22
202607;43;2
202607;47;31
202607;50;5
202607;52;3
202607;53;1
202608;3;3
202608;4;2560
202608;5;18298
202608;9;831
202608;14;178
202608;15;50
202608;16;22819
202608;24;9578
202608;27;4
202608;30;43
202608;33;10
202608;37;8
202608;43;1
202608;47;14
202608;49;2
202608;52;1
202609;3;5
202609;4;2848
202609;5;16933
202609;9;1191
202609;14;154
202609;15;30
202609;16;23072
202609;20;1
202609;24;10015
202609;27;1
202609;30;91
202609;31;1
202609;33;36
202609;37;12
202609;47;10
202609;48;5
202609;49;3
202609;50;10
202609;52;9
202610;4;2611
202610;5;20051
202610;9;1173
202610;14;119
202610;15;1
202610;16;19302
202610;24;14860
202610;27;4
202610;30;95
202610;31;2
202610;33;22
202610;37;4
202610;42;1
202610;43;5
202610;46;1
202610;47;24
202610;48;13
202610;49;5
202610;50;2213
202610;52;5
202610;54;6
202610;56;1
202611;3;6
202611;4;2989
202611;5;18145
202611;9;1093
202611;14;104
202611;15;3
202611;16;19208
202611;19;2
202611;24;14851
202611;30;70
202611;31;1
202611;33;23
202611;37;5
202611;42;2
202611;43;2
202611;47;7
202611;49;2
202611;50;3409
202611;52;10
202611;54;4
202612;3;1
202612;4;2929
202612;5;26433
202612;9;997
202612;14;92
202612;15;1
202612;16;17749
202612;24;12856
202612;30;50
202612;33;27
202612;37;197
202612;42;13
202612;43;12
202612;47;11
202612;49;6
202612;50;110032
202612;52;3
202612;56;1
202613;4;3416
202613;5;15227
202613;9;764
202613;14;105
202613;16;23821
202613;24;15742
202613;27;3
202613;30;48
202613;31;2
202613;33;44
202613;37;59
202613;42;714
202613;43;18
202613;47;7
202613;49;1
202613;50;86281
202613;52;4
202614;4;2545
202614;5;5077
202614;9;853
202614;14;117
202614;15;1
202614;16;20942
202614;24;16288
202614;27;1
202614;30;20
202614;31;1
202614;33;24
202614;37;27
202614;42;2
202614;43;4
202614;47;3
202614;48;1
202614;49;11
202614;50;2427
202615;3;1
202615;4;2886
202615;9;838
202615;14;122
202615;15;2
202615;16;32380
202615;24;13222
202615;27;7
202615;30;32
202615;33;19
202615;37;23
202615;42;10
202615;43;1
202615;47;5
202615;49;3
202615;50;3531
202615;52;2
202615;54;2
202616;3;4
202616;4;3854
202616;9;804
202616;14;123
202616;15;1
202616;16;21493
202616;24;10904
202616;27;1
202616;30;42
202616;33;11
202616;37;21
202616;42;8
202616;43;7
202616;47;6
202616;50;3320
202616;56;2
202616;60;1
202616;61;1
202617;4;3385
202617;9;827
202617;14;119
202617;16;17956
202617;24;10065
202617;30;59
202617;31;13
202617;33;23
202617;37;21
202617;42;18
202617;43;3
202617;47;9
202617;49;1
202617;50;2690
202617;52;5
202617;60;4
202618;3;5
202618;4;3263
202618;9;743
202618;14;191
202618;15;1
202618;16;4338
202618;24;8979
202618;30;52
202618;31;1
202618;33;18
202618;37;12
202618;42;14
202618;43;4
202618;47;9
202618;49;1
202618;50;1078
202618;52;7
202618;56;18
202618;60;6
202619;3;1
202619;4;3963
202619;9;963
202619;14;196
202619;15;1
202619;16;6184
202619;18;1
202619;19;6
202619;24;12934
202619;27;4
202619;30;46
202619;31;8
202619;32;1
202619;33;41
202619;37;12
202619;42;3
202619;43;1
202619;47;19
202619;50;3676
202619;54;2
202619;56;1
202619;59;1
202619;60;7
202620;3;2
202620;4;4713
202620;9;727
202620;14;140
202620;16;5162
202620;19;1
202620;24;10457
202620;27;1
202620;30;30
202620;31;7
202620;32;3
202620;33;45
202620;37;7
202620;42;8
202620;43;5
202620;47;9
202620;48;1
202620;49;1
202620;50;2137
202620;52;1
202620;60;1
202621;3;5
202621;4;3255
202621;9;701
202621;14;141
202621;15;1
202621;16;4314
202621;19;2
202621;24;8635
202621;27;2
202621;30;31
202621;31;12
202621;33;57
202621;37;20
202621;42;16
202621;43;2
202621;47;17
202621;48;2
202621;49;28
202621;50;2216
202621;51;1
202621;52;3
202621;56;50
202622;3;10
202622;4;3437
202622;9;538
202622;14;156
202622;16;3921
202622;24;9032
202622;27;1
202622;30;30
202622;31;11
202622;33;54
202622;37;28
202622;42;14
202622;43;56
202622;47;28
202622;48;8
202622;49;15
202622;50;2074
202623;3;1
202623;4;3528
202623;9;634
202623;14;234
202623;16;6361
202623;24;11787
202623;27;1
202623;30;18
202623;31;2
202623;33;41
202623;37;37
202623;42;3
202623;43;73
202623;47;25
202623;49;8
